,Company,Year,ret,Sentiment_Score,Mkt-RF,RF
0,A,2016,0.06299799991172539,0.23483321899999998,5.30%,1.84%
1,AAL,2016,0.1529236868588164,-0.115463056,5.30%,1.84%
2,AAP,2016,-0.005415954720533689,0.15085818199999998,5.30%,1.84%
3,AAP,2016,0.06450525429725906,0.124553552,5.30%,1.84%
4,AAPL,2016,0.04237910547221846,-0.115941658,5.30%,1.84%
5,ABBV,2016,0.15352910135250375,0.179130095,5.30%,1.84%
6,ABC,2016,-0.2598221902484408,0.051342255,5.30%,1.84%
7,ABT,2016,0.09358804265906628,0.18082137399999998,5.30%,1.84%
8,ACN,2016,0.2688947218867097,0.246534053,5.30%,1.84%
9,ADBE,2016,0.0985138716489582,0.132895428,5.30%,1.84%
10,ADI,2016,0.23816953125852036,0.001378936,5.30%,1.84%
11,ADM,2016,0.2838549286003591,0.037271242,5.30%,1.84%
12,ADP,2016,0.13434406090179518,0.203554756,5.30%,1.84%
13,ADSK,2016,-0.15140622854232777,0.07881083,5.30%,1.84%
14,AEE,2016,0.17244265654016155,0.06269530599999999,5.30%,1.84%
15,AEP,2016,0.05967901042159118,0.0,5.30%,1.84%
16,AES,2016,0.23159628667959398,-0.08380651,5.30%,1.84%
17,AFL,2016,0.27605664391792684,0.05327346,5.30%,1.84%
18,AIG,2016,0.17876939416435889,-0.031434861,5.30%,1.84%
19,AIV,2016,0.14432651348172154,0.042929228,5.30%,1.84%
20,AIZ,2016,0.2274089667775696,-0.058186329,5.30%,1.84%
21,AJG,2016,0.4709506691595695,0.026484031,5.30%,1.84%
22,AKAM,2016,0.4969094635903981,0.13106721300000002,5.30%,1.84%
23,ALB,2016,0.8195023756674009,0.044639476,5.30%,1.84%
24,ALK,2016,0.36114037260373033,0.235562877,5.30%,1.84%
25,ALL,2016,0.2737111944283348,0.088601986,5.30%,1.84%
26,ALLE,2016,0.09712194091184956,0.132691957,5.30%,1.84%
27,AMAT,2016,0.7786633036180015,0.085253726,5.30%,1.84%
28,AME,2016,0.10920928074388647,-0.235231821,5.30%,1.84%
29,AMG,2016,0.14462933624198104,-0.02611634,5.30%,1.84%
30,AMGN,2016,0.037649541935204534,0.007232281,5.30%,1.84%
31,AMP,2016,0.33114398153038893,-0.06817143,5.30%,1.84%
32,AMT,2016,0.12897626233391923,0.156877989,5.30%,1.84%
33,AMZN,2016,0.44461654231841297,0.133744747,5.30%,1.84%
34,AN,2016,0.16570668239644815,0.11479203800000001,5.30%,1.84%
35,AON,2016,0.2952375652800523,0.046014272,5.30%,1.84%
36,APA,2016,0.49390913542878967,-0.11391332800000001,5.30%,1.84%
37,APD,2016,0.06365760648464946,0.11964545300000001,5.30%,1.84%
38,APH,2016,0.35580646666735616,0.135486566,5.30%,1.84%
39,ATVI,2016,0.15178352825093278,0.058371122000000004,5.30%,1.84%
40,AVB,2016,0.03145442603185944,0.045406302999999995,5.30%,1.84%
41,AVY,2016,0.22142182832878765,0.0,5.30%,1.84%
42,AVY,2016,0.22142750466128946,0.0,5.30%,1.84%
43,AWK,2016,0.1283402958747213,0.147502439,5.30%,1.84%
44,AXP,2016,0.4400786345857539,0.01282207,5.30%,1.84%
45,AYI,2016,0.5104726255421339,0.28608790000000006,5.30%,1.84%
46,AZO,2016,0.03842366934713004,0.17541155,5.30%,1.84%
47,BA,2016,0.4080758618237865,-0.167109555,5.30%,1.84%
48,BAC,2016,0.6697145236806328,0.08924397699999999,5.30%,1.84%
49,BBBY,2016,-0.35627374297134773,0.165429216,5.30%,1.84%
50,BBY,2016,-0.12877042781438552,0.091056623,5.30%,1.84%
51,BDX,2016,0.19758645628732885,0.036364948,5.30%,1.84%
52,BEN,2016,-0.15697220371345932,-0.066492426,5.30%,1.84%
53,BIIB,2016,0.009544652532640585,-0.043003544000000005,5.30%,1.84%
54,BLK,2016,0.23255901652575384,0.038389786,5.30%,1.84%
