Company,Cik,Date,Sentiment_Score
A,1090872,20151031,0.175409519
A,1090872,20161031,0.234833219
A,1090872,20171031,0.319637738
A,1090872,20181031,0.270868368
A,1090872,20191031,0.358804378
A,1090872,20201031,0.30278227
A,1090872,20211031,0.367167013
AAL,4515,20141231,0.036112092
AAL,4515,20151231,-0.086365891
AAL,4515,20161231,-0.115463056
AAL,4515,20171231,0.037694996
AAL,4515,20181231,0.190441112
AAL,4515,20191231,0.032328561
AAL,4515,20201231,-0.091179377
AAL,4515,20211231,0.034080532
AAP,1158449,20150103,0.177569009
AAP,1158449,20160102,0.150858182
AAP,1158449,20161231,0.124553552
AAP,1158449,20171230,0.141418286
AAP,1158449,20181229,0.233895181
AAP,1158449,20191228,0.169089893
AAP,1158449,20210102,0.259591767
AAP,1158449,20220101,0.224308617
AAPL,320193,20150926,0.187952856
AAPL,320193,20160924,-0.115941658
AAPL,320193,20170930,-0.107588718
AAPL,320193,20180929,0.102767961
AAPL,320193,20190928,0.056513967
AAPL,320193,20200926,-0.087952673
AAPL,320193,20210925,0.179707826
ABBV,1551152,20141231,0.208256566
ABBV,1551152,20151231,0.151706081
ABBV,1551152,20161231,0.179130095
ABBV,1551152,20171231,0.056762221
ABBV,1551152,20181231,0.17499498
ABBV,1551152,20191231,0.20332515
ABBV,1551152,20201231,0.157883755
ABBV,1551152,20211231,0.091375787
ABC,1140859,20150930,0.010182363
ABC,1140859,20160930,0.051342255
ABC,1140859,20170930,0.133928589
ABC,1140859,20180930,0.051011855
ABC,1140859,20190930,-0.002062977
ABC,1140859,20200930,-0.015643235
ABC,1140859,20210930,-0.040310712
ABT,1800,20141231,0.128459211
ABT,1800,20151231,0.217796929
ABT,1800,20161231,0.180821374
ABT,1800,20171231,0.125732952
ABT,1800,20181231,0.211052636
ABT,1800,20191231,0.258961736
ABT,1800,20201231,0.168388643
ABT,1800,20211231,0.137275628
ACN,1467373,20150831,0.277138324
ACN,1467373,20160831,0.246534053
ACN,1467373,20170831,0.208758337
ACN,1467373,20180831,0.089988418
ACN,1467373,20190831,0.204214208
ACN,1467373,20200831,0.016913929
ACN,1467373,20210831,0.16354699
ADBE,796343,20141128,0.081408474
ADBE,796343,20151127,0.051739405
ADBE,796343,20161202,0.132895428
ADBE,796343,20171201,0.177198983
ADBE,796343,20181130,0.211088341
ADBE,796343,20191129,0.119023752
ADBE,796343,20201127,0.216449287
ADBE,796343,20211203,0.291380002
ADI,6281,20151031,0.111322752
ADI,6281,20161029,0.001378936
ADI,6281,20171028,0.059573592
ADI,6281,20181103,0.121654332
ADI,6281,20191102,0.034174513
ADI,6281,20201031,-0.063567957
ADI,6281,20211030,0.055192384
ADM,7084,20141231,0.116380242
ADM,7084,20151231,0.088026354
ADM,7084,20161231,0.037271242
ADM,7084,20171231,0.085691813
ADM,7084,20181231,0.340735557
ADM,7084,20191231,0.186111486
ADM,7084,20201231,0.122823252
ADM,7084,20211231,0.273942085
ADP,8670,20150630,0.330084586
ADP,8670,20160630,0.203554756
ADP,8670,20170630,0.205854471
ADP,8670,20180630,0.27140723
ADP,8670,20190630,0.314954098
ADP,8670,20200630,0.200542434
ADP,8670,20210630,0.232859062
ADP,8670,20220630,0.233401101
ADS,1101215,20141231,0.181594181
ADS,1101215,20151231,0.087484435
ADS,1101215,20161231,0.12509784
ADS,1101215,20171231,0.119026255
ADS,1101215,20181231,-0.009846668
ADS,1101215,20191231,-0.016440804
ADS,1101215,20201231,-0.046361502
ADS,1101215,20211231,-0.020648492
ADSK,769397,20150131,0.117286706
ADSK,769397,20160131,0.07881083
ADSK,769397,20170131,0.000675017
ADSK,769397,20180131,0.078135803
ADSK,769397,20190131,0.054593421
ADSK,769397,20200131,0.088461764
ADSK,769397,20210131,0.123816471
ADSK,769397,20220131,0.190897233
AEE,18654,20141231,0.076781222
AEE,18654,20151231,0.057513411
AEE,18654,20161231,0.062695306
AEE,18654,20171231,0.108498303
AEE,18654,20181231,0.068184712
AEE,18654,20191231,0.058484135
AEE,18654,20201231,0.000766189
AEE,18654,20211231,0.073087025
AEP,4904,20141231,0
AEP,4904,20151231,0
AEP,4904,20161231,0
AEP,4904,20171231,0
AEP,4904,20181231,0
AEP,4904,20191231,0
AEP,4904,20201231,0
AEP,4904,20211231,0
AES,874761,20141231,-0.143825092
AES,874761,20151231,-0.14241553
AES,874761,20161231,-0.08380651
AES,874761,20171231,-0.086186161
AES,874761,20181231,-0.000977128
AES,874761,20191231,-0.068099678
AES,874761,20201231,-0.130220932
AES,874761,20211231,-0.055679034
AET,1122304,20141231,0
AET,1122304,20151231,0
AET,1122304,20161231,-0.150797603
AET,1122304,20171231,-0.164466989
AFL,4977,20141231,0.064829553
AFL,4977,20151231,0.042739233
AFL,4977,20161231,0.05327346
AFL,4977,20171231,0.034033208
AFL,4977,20181231,0.083740578
AFL,4977,20191231,0.058823858
AFL,4977,20201231,-0.030906161
AFL,4977,20211231,0.0305464
AGN,1578845,20141231,-0.010431883
AGN,1578845,20151231,0
AGN,1578845,20161231,0.022405467
AGN,1578845,20171231,0.014165684
AGN,1578845,20181231,0.030190129
AGN,1578845,20191231,-0.038755503
AIG,5272,20141231,0.134904619
AIG,5272,20151231,0.063478024
AIG,5272,20161231,-0.031434861
AIG,5272,20171231,-0.101013676
AIG,5272,20181231,0.013877401
AIG,5272,20191231,0.024264671
AIG,5272,20201231,0.026153079
AIG,5272,20211231,0.015294004
AIV,922864,20141231,0.090180266
AIV,922864,20151231,0.133587647
AIV,922864,20161231,0.042929228
AIV,922864,20171231,0.146349434
AIV,922864,20181231,0.10783068
AIV,922864,20191231,0.105041341
AIV,922864,20201231,0.126700403
